,data_clean
80,flight cancel send email confirmation
81,flight rebook overbook beginning true wait min ticket change
82,bad experience overall
83,
84,flight delay hour
85,cabin crew annoy offer drink passenger pass announce drink customer
86,coffee nuisance clear cart
87,question normally drink
88,like drink
89,bad customer service
90,travel paris skopje 4th ljubljana
91,flight ljubljana skopje cancel day departure reason leave middle connection ljubljana
92,company book hotel sure flight day prevent enjoy day macedonia
93,company agree reimburse hostel night pay month claim reply company
94,mail company time multiple occasion
95,company reimburse month
96,month later receive
97,experience adria airway overall poor flight cancel reason flight delay terrible customer service unable answer online claim reimburse hostel night pay
98,
99,adria checkin obviously barely cope
100,wasn possible obtain electronic boarding pass iphone wallet version adria site
101,option fail explanation
102,able checkin return flight online adria lufthansa web site
103,end lufthansa mobile app
104,
105,issue report customer care ignore
106,experience customer care policy couple year ago inquiry customer support basically ignore
107,flight actually operate romanian company carpatair
108,cabin outdat dirty funny smell linger
109,stick clothe day great meet client
110,cabin crew disorganised mix order passenger sit
111,fly
112,unfortunately company offer direct flight lju muc
113,unpleasant experience family
114,buy return flight ljubljana prague ljubljana ljubljana warsaw ljubljana day departure direct flight prague cancel flight warsaw merge prague flight add necessary stopover
115,instead direct flight prague adria airway finally offer transfer munich
116,arrive airport 2018 flight munich hour delay possible catch flight munich prague
117,flight munich people original cancel flight prague subsequently want continue prague
118,adria airway staff present airport come inform passenger result tremendous confusion lack information
119,ljubljana airport service staff finally inform adria airway staff refuse come
120,wasn possible adria airway hotline
121,maybe overload number disgruntle passenger gate people wait delay flight vienna wasn anybody adria airway provide information
122,unfortunately flight leave force ride munich airport distant hotel morning a.m.
123,permanent cancellation flight subsequent ignorance passenger surely way reduce operating cost long term outflow passenger airport slovenia especially graz zagreb
124,
125,flight comfortable professional crew
126,monitor passenger provide information flight speed altitude temperature time land
127,
128,flight delay hour technical problem
129,food water request tell complain adria airway website
130,plane organize later
131,staff try convince passenger connection singapore wait min new flight arrival time departure
132,flight frankfurt wifi connectivity flight
133,
134,overall flight service adria average reliable small european carrier
135,fly time year seldom experience problem flight
136,return vienna visit albania slovenia september encounter adria reveal customer service quality improve
137,adria offer opportunity purchase business class upgrade economy class seat optiontown
138,business class upgrade adria joke pay 50eur seat snack
139,option purchase economy class seat 19eur great deal opinion
140,select option lju vie flight receive confirmation transaction clear extra seat assign
141,fast forward actual flight aircraft change crj 900 atr darwin airline etihad regional seat
142,atr seat face rear plane cabin woman seat scared fly backwards flight attendant unilaterally reassign seat ask
143,short flight want scene let happen assume easily refund 20eur transaction
144,exactly month adria customer service team respond business class upgrade clear charge
145,request business class upgrade charge seat fact request send relevant receipt statement adria
146,week later receive response simply dispute charge credit card company easily able understand issue refund money
147,week response time customer service absolutely embarrassing adria ashamed operation
148,sad perfectly acceptable airline lose customer 20eur
149,nice short flight ljubljana sarajevo
150,flight adria flight adria switzerland
151,flight sarajevo delay fog sarajevo adria quickly change aircraft possible land foggy weather crj instead atr
152,product depend weather adria adria switzerland
153,adria snack water buy board product adria switzerland snack water tea coffee buy board
154,personally prefer second option
155,adria switzerland provide nicer cosy atmosphere board kind premium product compare adria mainline
156,people come short connection zurich hop continue adria ljubjana
157,final departure gate
158,people board
159,adria decide rebook plane
160,wife check baggage
161,wait hour flight
162,extremely bad service utmost fly adria
163,warn fly friend
164,
165,flight short min
166,lose baggage persistently airport wouldn bag week lazy
167,bag badly damage thing miss
168,tell report honor month pay replacement extra expense day
169,rude try blame customer live slovenia communication email week reply send email right send
170,day lose baggage different passenger return flight passenger lose bag normal airline
171,cheap option fly worth extra cost later
172,fly airline
173,
174,adria airway recent year reliable airline use flight
175,remember delay fly month
176,flight attendant professionel
177,food drink water purchase
178,sandwich tasty wine choice good
179,newspaper available free slovenian language
180,seat pitch emergency exit international standard safety
181,aim rare airline extra safety instruction passenger seat emergency exit seat
182,inflight magazine available online print
183,necessarily exciting solid reliable product recommend
184,
185,fast boarding procedure plane time
186,seat comfortable cabin look bit nag
187,despite fact regional flight adria airway offer wifi service good connection ife free chat function passenger
188,friendly crew welcome passenger onboard start service pretty impressive minute flight
189,business meal taste great land punctually vienna
190,short flight adria airway ljubljana vienna
191,time
192,crj aircraft new cabin fresh seat comfortable
193,flight welcome flight deck information flight
194,cabin crew polite professional
195,overall nice comfortable flight
196,board crj900 flight seat table pre flight snack water juice
197,great surprise arrive seat
198,love
199,meal wasn good good wine good
200,row spacious lot legroom guarantee bulkhead
201,new generation crj900 plane comfy big window pleased flight
202,fly connection frequent business flyer depart vienna munich destination
203,flight adria choose convenience option choose time value money experience
204,outdated aircraft buzz upper compartment present time descending extremly anoy
205,complimentary glass water snack pretzle
206,option payment acceptable fot price 400 eur
207,mention online check unavailable paris traffic airport unpredictable online check
208,fly adria option leave
209,aircraft staff nice
210,
211,adria airway national carrier pretty hold monopoly market carrier fly limit schedule route slovenian capital air france swiss regretfully withdraw service
212,spend lifetime flying adria product sorry grossly inadequate
213,appeal adria offering incentive lift standard competition stimulate improvement
214,entire fleet tired outdated
215,business class product non existent staff best disinterested lean unfriendly
216,announcement
217,completely impossible understand english german slovenian
218,fly know announcement hope hell normal person understand dribble come
219,guess uninformed passenger
220,fluent language heavily accent slow hopefully understand
221,excuse pronounce slovenian correctly
222,execute speed place tick task care invest sure task execute effectively
223,
224,pick game end come day monopoly break look world learn story
225,solution avoid fly adria airway possible turkish airline presence pretty strong lju fault service
226,fly lju geographical destination ist logical place transit carrier choice
227,
228,experience adria airway underwhelming unimpressive
229,flight sit tarmac fully board minute explanation cause minute delay arrival comment crew despite passenger tight connection ams
230,crew personal experience flight 2016
231,crew quickly pass cabin hold large bottle water offer buy board unappeal price
232,age crj 900 wear limit air entertainment able select bulkhead seat check legroom good
233,compare inbound flight air france adria lack sort polished personal touch flight magazine claim want project
234,lju option schedule erratic adria rational choice sector
235,
236,different experience
237,flight ljubljana brussel nice comfortable crj900 cabin clean pleasant
238,professional nice cabin crew jp376 flight aug
239,jp395 flight aug different
240,a319 cabin tired uncomfortable flight cabin crew unprofessional tired interested
241,nightmare crew
242,bad purser
243,experience unmotivated flight attendant totally acceptable appearance
244,bad day bad day look professional flight purser
245,end day buy board service flight flight attendant difference board aircraft
246,book flight year use easyjet flight reasonable price actually cheap easyjet
247,flight outbound inbound depart slightly late arrive pretty close schedule time outbound landing ljubljana bit rough
248,staff pleasant serve complementary water small selection food drink sale advertised item available
249,seating bit cramp leg room easyjet kness toch seat crush person person dig knee thay wer oviosly struggle room
250,cramped previous time fly adria year ago
251,
252,rely adria airway communicative wrong
253,luggage missing want deliver day later
254,adria criticism
255,denial time
256,like staff talk
257,warn
258,tallinn stockholm adria airway
259,clean fresh aircraft nordica livery
260,pleasant boarding staff clear announcement cockpit informative
261,innovative approach meal service selection sandwich fresh euro
262,coffee tea water complimentary
263,flight slightly delay technical overhaul
264,fly roundtrip short route zurich ljubljana adria airway
265,time departure arrival time
266,
267,splendid view alp
268,time location bus trip aircraft locate gate
269,flight announcement slovenian passable english
270,small glass water serve
271,cola candy croissant available purchase
272,able select seat advance
273,luggage leave staircase available retrieval stair arrival
274,ticket gate agent polite speak excellent english
275,airline job
276,destination time
277,impressive efficient small airline journey pleasant
278,short flight adria airway ljubljana zurich munich ljubljana time aircraft new cabin bright clean
279,nice professional service flight
280,morning flight ljubljana free newspaper sleep
281,chief flight attendant bring pillow comfortable sleep
282,
283,lodz paris cdg munich lodz adria airway
284,decent service short hop like
285,small cramp cabin clean crj700
286,flight lcj cdg nearly feel like private jet
287,muc lcj load factor
288,check internet option select seat problem flight time
289,cabin staff absent serve glass water free
290,inform possibility connect board couldn manage
291,expect star service adria good option quick expensive flight
292,adria airway flight pristina munich smooth return flight terrible
293,notify flight delay tarmac
294,tell technical issue fly ljubljana slovenia connect flight
295,reality flight half force adria flight save buck
296,recompense free meal airport
297,fly
298,lufthansa rep tell happen sign
299,ljubljana amsterdam adria airway economy class
300,free snack drink sad star alliance partner fare price high offer similar low cost airline
301,beverage sell air shop look nice advert beautiful picture buy small sandwich bad taste
302,figure good buy sandwich airport caffe onboard
303,flight adria airway year
304,flight usually time new aircraft clean bright cabin
305,cabin crew member nice professional fine
306,know happen month accord flight experience right direction
307,flight moscow experience cabin crew gloomy flight svo gloomier flight lju
308,smile robotic interested passenger comfort
309,end day real difference crew attitude
310,fly business class adria airway a319 short flight skp lju
311,friendly helpful staff excellent business class service include hot meal warm bread cheese marmalade
312,good business class service
313,flight arrive minute sta good job
314,information route weather connection captain
315,legroom row good nice seat
316,highly recommend small functional airline
317,frankfurt ljubljana adria airway
318,boarding time aircraft park remote gate minute main terminal
319,depart minute late
320,service onboard poor complimentary drink snack available sale
321,arrival minute later schedule
322,crew friendly
323,adria airway price regular airline service low cost airline
324,beverage food purchase
325,seat fine staff friendly
326,usually travel early morning late evening use flight rest
327,time ask pillow
328,sound strange important
329,excellent flight way adria airway manchester ljubljana
330,staff friendly unobtrusive
331,leg room far better economy flight seat comfy plenty storage space
332,flight time quick efficient boarding disembark smooth landing
333,pleasant experience
334,outbound flight fra prn a319
335,hour min flight
336,think drink snack sale sandwich soft drink serve complimentary
337,
338,hour min flight
339,skyshop menu seat pocket drink snack sale
340,flight crew friendly
341,security check ljubljana airport transit passenger chaos possible gate 30min
342,
343,fast crj
344,seat comfortable crew fine
345,ground service good lounge nice
346,
347,flight departure time
348,service board pleasant friendly female flight attendant
349,buy coffee mineral water nice fresh croissant eur
350,
351,adria serve 100 min flight ljubljana amsterdam brand new crj900 gen hugely improve cabin
352,spacious high ceiling big window
353,seat comfortable legroom
354,business class separate main cabin standard seat curtain
355,food offering slightly improve usually good meal adria
356,
357,free snack drink star alliance partner
358,legacy carrier fare basically budget airline
359,fly poland euros usd
360,thirsty ask purchase bottle water
361,stewardess buy use credit card purchase cash preferred currency
362,point able sell duty free visa card huff puff basically difficult
363,offer tiny cup water
364,way switch turkish airline ist free course meal segment friendly service
365,
366,love fly
367,small airline functional
368,crew friendly board special regard entertainment service
369,flight duration short complain
370,love fast transit process ljubljana small airport immigration fast
371,choose future trip
372,
373,adria airway provide low cost product day
374,food beverage purchase include water
375,acceptable short flight clearly indicate ticket purchase web site
376,hot option quality sandwich poor
377,service friendly efficient
378,flight arrive time
379,lju fra flight time
380,flight crj900 nextgen aircraft
381,clean cabin comfortable seat
382,staff nice friendly
383,new skyshop service excellent nice price expensive
384,ljubljana munich flight business class adria use crj 900 generation great plane
385,love large window proper height bend neck order look window like old version bombardier equipment
386,aircraft quiet
387,short flight business class good meal comfy seat
388,flight lju zrh time
389,economy class serve coffee tea water fine half hour flight
390,friendly helpful cabin crew member
391,clean comfortable cabin crj900 aircraft
392,satisfied crj 900 flight zagreb istanbul
393,aircraft clean fresh new staff helpful
394,feel safe comfortable aircraft
395,jp650 evening departure istanbul 28th august
396,clean airbus a319 light load flight
397,crew warm kind especially purser time walk talk passenger
398,offer pillow blanket appreciate
399,warm refreshment selection cold hot beverage offer hour flight
400,minute earlier land minute earlier
401,relax flight hope fly destination future slovenia beautiful lovely country visit
402,
403,flight good
404,clean cabin comfortable seat cramp crj efficient attractive cabin crew announcement slovenian pretty good english german
405,water bottle passenger short flight like coffee offer second flight
406,aircraft depart time boarding efficient captain passenger update ife course bag arrive quickly
407,lju nicely stock priority pass lounge nice small airport muc awesome airport connect
408,highly recommend little regional airline slovenia beautiful
409,fly regional jet prefer new generation crj 900 adria use today flight amsterdam ljubljana
410,big window cabin look spacious
411,despite adria cut lot route service food cabin
412,
413,pre sector individual bottle water plastic glass
414,flight pleasant cold snack tasty attractively present
415,
416,cabin crew friendly good eye contact knowledge english
417,seat normal economy
418,transfer ljubljana bit confusing
419,direction follow sign passage lock
420,couple minute later somebody come let security
421,return leg security
422,disappointing ljubljana duty free shop sell alcohol p.m.
423,slovenian liqueur speciality advertise flight duty free catalogue carry board
424,flight time
425,
426,flight time nice clean plane good flight crew
427,seat comfortable hour flight
428,boarding easy flight
429,ljubljana airport small nice
430,downside absence snack
431,serve water coffee tea
432,like low cost airline
433,recommend airline short flight
434,beg lju beg crj200 great regional airline excellent airport
435,bad airport busy
436,flight time duty free service certain item special price
437,ticket good reason economic difficulty
438,fly month zrh lju zrh
439,experience staff ground need good education regard care passenger
440,come delay pax info desk change ticket unfriendly unprepared staff
441,airplane clean better room improvement flight staff
442,ltn lju outbound crj200 return crj900
443,leg time
444,tiny sandwich round drink flight
445,slow unfriendly staff
446,little room crj200
447,passenger pick luggage hold arrival lju carry bag terminal building
448,
449,board time
450,aircraft look new clean
451,meal serve expectation
452,cabin crew nice
453,thing bad seating arrangement
454,sit 13th 14th row row window
455,flight
456,
457,flight time return flight slightly delay heavy snow fra
458,flight attendant attentive helpful
459,delicious snack flight
460,wait leg passenger serve slovenian sparkle wine juice water
461,comfortable seat generous leg room crj 900 fra crj 200 lju
462,airplane clean seemingly maintain enjoyable experience
463,
464,flight time
465,flight attendant friendly allow different version female uniform flight
466,white shirt apron look casual flag carrier
467,plane worn promotional message seat insurance company look cheap
468,food consideration hour flight
469,smart efficient service
470,small plane tall man feel cramp crj 200 ams lju crj 900 lju ams
471,cabin crew friendly food short flight good
472,price right
473,fra vie business class
474,great little airline transfer transatlantic flight
475,advantage crj sit remote stand interesting ride frankfurt airport operating aircraft taxi landing
476,onboard crew pleasant manage serve hot lunch min flight
477,depart arrive time flight smooth
478,
479,delay slightly gatwick happen
480,good flight
481,cabin crew friendly welcome ensure okay pushy forward
482,short flight light meal snack serve
483,zrh lju continuation flight swiss
484,adria good swiss feel welcome onboard look
485,return flight good outbound flight cabin crew smile talk passenger
486,crj clean look good condition airline equipment fly past
487,fly adria lot month
488,service mix
489,supervisor ready board greet
490,time board crew photo tarmac stand wait finish
491,food fine hand luggage service deliver tarmac land work crj aircraft
492,
493,route normally vie lju zrh lju
494,wonder adria high profile airline small plus
495,crj200 1000 specially 1000 brand new a319 late delivery
496,hate board time depart time
497,pax air min
498,lose lot time boarding complete
499,service bad time
500,small pack seed dry fruit bottle water
501,flight normally min miss nice box good sandwich water small dessert
502,price overpriced offer
503,old inflight magazine cabin
504,crew good familiar passenger fellow colleague
505,time adria
506,short hop kbp lju
507,airline star ticket star price tag
508,online sale work fine online check issue pass wrong boarding time nearly hour early
509,luckily center work tell report airport normal time use wrong board pass
510,work
511,passenger onboard canadair200
512,plane new clean
513,seat narrow seat pitch okay
514,seat work land recline position
515,food average small cheese sandwich bar service good generous
516,flight depart late air land ontime
517,crew cheerful attentive
518,special meal deliver okay good standard sandwich offer passenger
519,real strong star experience overpriced ticket
520,difference business economy cabin
521,seat different price
522,
523,new plane pleasant cabin interior comfortable leather seat
524,flight time food adria airway new uniform style flight attendant attentive
525,web check work excellent
526,reliable good connection balkan western europe
527,service leg skopje ljubljana low quality leg ljubljana amsterdam ljubljana frankfurt
528,crew friendly helpful offer tuna sandwich assume muslim traveler
529,insist ham sandwich
530,
531,adria pretend quality star alliance shouldn distinguish passenger fly skopje ljubljana fly ljubljana western europe
532,
533,adria airway offer check line straight security great
534,board quick efficient
535,plane downgrade crj9 crj2 emergency exit seat reservation honour
536,wait stand minute communication flight deck
537,service nice sandwich hot cold drink
538,cabin crew robotic purser train smile circumstance
539,crew bite cheerful communication flight deck bit better
540,
541,minute late leg air traffic restriction gatwick adria hold connect flight handful people transfer london flight
542,food adequate leg crew friendly
543,perfectly acceptable journey fly adria
544,
545,great little airline
546,crj 200 little cramp service good proper meal adequate refreshment competent cabin crew
547,inflight magazine english slovenian interesting mix article company information
548,brnk international airport
549,airport need spruce
550,
551,cheap option compare lufthansa austrian plying short hour flight
552,small plane mean long bus ride remote stand position
553,large carry bag deposit trolley park plane
554,aircraft spotless leather seat age saggy squab
555,service consist choice crusty cheese ham roll follow drink tea coffee
556,
557,return similarly uneventful long bus ride fra
558,luggage claim quick
559,
560,outward flight crj200 nice comfortable excellent service good breakfast
561,return flight 737 lease ukrainian airline reasonable despite limit legroom
562,earn star alliance point plus recommend
563,fly adria flight year
564,adria member star alliance pretty good connection destination europe
565,onboard service good staff quiet nice
566,home base airport ljubljana upgrade international
567,business lounge level old furniture bad food choice dark
568,star adria correct
569,lgw lju lgw old clean a320
570,outward plenty legroom return 12f adequate legroom need careful plastic shell seat start crack sharp edge
571,cheese roll serve outbound jam croissant return better room improvement
572,coffee soft drink free round early flight
573,pleasant crew sector
574,gripe baggage collection lju flight carousel unload baggage batch flight turn cause chaos
575,second carousel sit unused minute wait
576,frankfurt ljubljana munich business class flight b737 colour ukraine international plane interior substandard second flight new crj
577,flight time glitch
578,service friendly meal improve
579,overall impression pleasant short haul airline
580,
581,
582,sector use bombardier regional jet crj200
583,small plane crew sector friendly service efficient
584,seat comfortable plane good clean condition
585,light meal serve generally roll pie plus drink
586,inflight magazine surprisingly rich information slovenian culture way life good read
587,board plane tarmac bus gate connect bridge
588,
589,outbound a320 seat class flight
590,crew friendly serve ham cheese roll round drink
591,lju airport easy use minute
592,coach ride town nice slovenian countryside
593,return b737 500 flight middle seat exit row seat pitch great
594,right serve cream pie desert drink
595,crew friendly smooth flight land 15min ahead schedule
596,lgw lju lgw week overall impress standard service a320
597,food economy basic expect
598,
599,allocate row emergency exit ask tall leg room
600,minor complaint seat base comfort rock hard like sit wood bench
601,return seat row little good cut foam
602,crew excellent nice airline
603,
604,expect poor standard safety comfort airline surprised
605,flight refresh alert
606,pre flight safety procedure clear high standard star airline
607,seat hard leg room limit flight pleasant friendly
608,flight catering poor consider hour flight
609,hand frozen sandwich juice box
610,baggage collection mayhem
611,flight fair fly adria airline compare star airline aer lingus klm
612,frankfurt vienna satisfied
613,surprised flight attendant start meal expect feed short flight minute
614,bit cramp board canadair regional jet wouldn complain
615,crew overall friendly efficient
616,
617,plane new canadair regional jet small seat good leg room comfortable
618,cabin crew friendly
619,food cheese ham roll fine minute flight
620,adria airline leave gatwick evening delay
621,return flight a320 comfortable good service
622,recommend adria worth pay extra 20quid easyjet fly gatwick pay food drink
623,round trip lgw lju economy class leg a320
624,service pretty friendly plane clean maintain flight time
625,food leg outbound mid morning return early morning simple process cheese roll hour flight food probably important aspect journey
626,pretty reasonable experience major complaint
627,use vie fra vie service time
628,flight time atmosphere board crj fine service friendly snack drink outstanding
629,flight hour
630,codeshar enable collect mile count status
631,
632,flight time flight attendant nice helpful
633,sandwich upgrade equal
634,minus point hand apple juice want wine drink ask specifically
635,kind cheap impression passenger want hide
636,wine serve industry standard wine country like slovenia serve guest trip country
637,absolutely agree short leg necessity food drink clearly define service guide airline crew adhere service guideline
638,round trip lgw lju business class
639,check staff lgw efficient friendly
640,a320 clean staff helpful
641,food wine need improvement
642,flight time overall pleasant experience
643,july 2003 fly london gatwick ljubljana skopje return business class
644,overall impressed
645,flight depart arrive time onboard service efficient reasonably friendly
646,hot meal serve flight quality varied disgusting drink complimentary
647,aircraft a320 crj modern spotlessly clean
648,business class seating identical economy moveable curtain
649,transit ljubljana painless small airport business class lounge special
650,happily fly need improve quality meal
651,return long weekend ljubljana fly adria london gatwick
652,outbound flight food portion bit stingy hour minute flight time arrive early ljubljana
653,beware arrive saturday coach city centre far
654,end taxi cost 6500 sit ukp bus 600 sit
655,return flight adria cancel flight technical reason
656,judge low number people passenger service counter think reason cancellation economic technical
657,rerout munich add hour half journey fly heathrow instead gatwick leave useless train ticket way home
658,flight munich adria good edible snack serve apple juice
659,despite problem return journey adria reasonable airline choice country
660,fly adria recently code share munich ljubjana return
661,case plane brand new crj
662,flight smooth crew efficient helpful
663,pilot inform flight
664,sunset dusk flight alp absolutely scenic
665,despite narrow cabin crj pitch generous leather seat comfortable
666,flight minute muc lju travel tourist class
667,normally short flight time drink
668,receive apple juice cheese salad sandwich plus coffee tea
669,lju muc overbooking business
670,offer orange juice prior departure tasty breakfast consist bacon scramble egg fruit salad croissant coffe tea
671,superb short segment
672,prime choice airline pleasant flight
673,athen sofia
674,excellent value money pay canadian dollar
675,seat comfortable airplane clean great staff service
676,time
677,fly aegean year ago deliver worthy star rating
678,expect food offer flight sure meal request advance vegetarian
679,fault
680,food look like good quality offer reasonable selection beverage
681,book flight palermo athen aegean
682,flight operate olympic air mind
683,boarding efficient depart time
684,plane bit dated compare rest aegean fleet
685,onboard service good service
686,especially fas eirini myrto attentive kind reassuring
687,aegean choice travel
688,athen munich
689,ground staff athen unpolite rude onboard bag heavy charge
690,passenger desk book extra baggage
691,fly airline
692,food board bad
693,hamburg rhode athen
694,check friendly professional boarding
695,route ham ath place business class onward flight rho economy
696,service business class impeccable
697,course menu main course choose court
698,wine choose soft drink beer spirit coffee espresso
699,typically european flight seat middle seat free
700,seat comfortable little tight table armrest
701,delay landing athen business guest terminal separate bus problem connect flight
702,onward flight economy class fine
703,snack drink staff friendly
704,
705,
706,
707,
708,
709,
710,
711,
712,
713,
714,airline rome athen july 30th check baggage damage
715,wheel miss suitcase crack
716,desk handle situation
717,report email day incident
718,receive email end august
719,associate inform compensate damage
720,banking information need intermediary swift code necessary non people
721,bank chase hear wire transfer department chase inform recipient intermediary swift code
722,information need turn transfer
723,receive compensation airline
725,lounge ath disappointment
726,expect breakfast early flight
727,unfortunately continental breakfast provide
728,board fine
729,clean aircraft nice staff reasonable food
730,standard european route fly star alliance
731,note excellent airshow
732,ath lhr september 2019
733,check breeze comfortable athen international airport
734,polite friendly aegean staff hand assist self check counter
735,smile sense humour process easy informative
736,excess charge necessary luggage
737,understand people post review bemoan fact pay extra bag exceed permit baggage allowance
738,pay regardless airline use common sense educate permit allowance
739,
740,greet aircraft door warm welcome immaculate look cabin crew
741,flawless hair
742,elegant functional uniform
743,depart minute delay
744,drink service commence shortly follow tasty hot present vegetarian meal
745,good experience
746,great service crew
747,aegean airline europe offer service board congratulate
748,land minute ahead schedule
749,great flight excellent crew
750,shall definately fly aegean airline
751,
752,
753,aegean charge exorbitant price minimal weight excess
754,sure charge extra kilo
755,certainly unfair airline
756,prior email warning reminder airline decency
757,ryanair hank way higher fairness customer service
758,securely fly aegan
759,heraklion athen
760,attendant skip son serve water
761,ask attendant water reply second serve passenger
762,ask flight attendant water
763,politely reply problem disappear
764,fly aegean athen catania
765,flight aegean exceptional
766,modern aircraft friendly helpful crew entertainment aegean stream
767,fas manage good work despite cabin
768,food nice sandwich like hot meal short intl route flight aegean
769,thing complain board procedure
770,boarding ath disembarkation cta use bus despite fact available jetbridge catania airport
771,overall good flight value money 108 euro high season
772,
773,fly aegean disappointment term comfort
774,free seat adequate room adult measure 180
775,seat sit upright knee hit seat passenger effectively
776,implement aegean year ago order save extra row seat plane increase revenue disappointed passenger tolerate discomfort pay set upgrade
777,shame company charge low cost airline treat economy passenger
778,flight operate olympic air q400
779,plane flight minute late board plane time
780,service min flight basic sandwich fruit water beer wine
781,friendly cabin crew especially flight ath sjj great offer theirs lunch fruit salad option tuna sandwich ham cheese sandwich
782,zakynthos athen flight olympic airline code operate aegean airline early morning
783,flight time embarkation disembarkation bus easy quick
784,use check simple boarding pass send snartphone link
785,app need
786,seat
787,flight arrival ahead schedule
788,offer water juice biscuit
789,book ticket redeem point aegean mile bonus scheme cheap
790,sofia beirut athen
791,amazing experience airline
792,flight time hot meal 20’ flight comfortable seat clean cabin friendly professional crew
793,aegean choice recent year
794,hope good service offer downgrade
795,frankly bad
796,love aegean
797,mislead information aegean website
798,purchase line economy golight ticket santorini athen aegean website star alliance gold member estimate entitle free check baggage
799,know flight operate olympic air
800,base understanding follow assessment aegean website purchase ticket number bag charge allowable dimension vary depend flight fare golight flex business class economy business travel
801,advise check specific baggage information aegean website booking flight
802,mile bonus gold star alliance gold piece business piece economy flex piece economy golight 158 inch important note regard baggage baggage policy apply flight operate aegean olympic air aircraft
803,check airport staff acknowledge star alliance gold status priority tag sole luggage charge cost ticket purchase extra luggage previously flight sole baggage base fact flight number olympic number aegean
804,insist way
805,pay complain later aegean customer service moment repeat reason pax able identify airline flight code website value
806,second complain receive tiny compensation status mile credit
807,london athen
808,good experience aegean airline
809,good airline europe
810,serve hot meal plenty drink run economy
811,crew professional
812,boarding orderly quick slightly delay flight speed
813,seat pitch tight flight cramp
814,hour hell
815,crew clean toilet
816,unclean
817,athen larnaca
818,flight delay happen airline airline avoid use airbridge flight prefer use bus
819,heavy rain snow freezing temp
820,case bus plane park far away athen temp 39c boil hot
821,return flight delay half hour traffic excuse captain american announcement english passenger wonder talk greek translation
822,athen rome
823,flight late
824,flight athen mykono hour minute schedule time
825,apologise meal voucher arrive email board way vouch valid travel year exception period 20th december 10th january easter week follow july august
826,
827,way flight rome minute late
828,rome larnaca athen
829,main problem drop luggage rome airport
830,service point available wait minute queue
831,berlin athen
832,aegean respect excellent airline
833,warn buy good flight shop
834,buy pair bluetooth headphone
835,extremely uncomfortable large average adult male head
836,clear moment fit purpose suitable child
837,aegean refuse point view good faulty adult male wear comfortably
838,experience excellent service aegean provide avoid temptation buy good air
839,totally unsuitable win refund
840,athen bucharest aegean airline
841,company service bad bad
842,year bad bad
843,bad
844,tagging luggage end process maximum bother consist different people aegean try use scanner work redirect
845,process long infinite seven person group
846,board bus lead plane personnel insist aggressive voice body language crowded bus room leave
847,explain separate member group speak english
848,separate different bus passenger panic attack
849,malcontent disappointed attitude people work company interact flight
850,flight minute late course miss final picture
851,nightmare experience united rebook star alliance partner aegean include delay cancellation arrive athen luggage unite responsibility aegean
852,deal unite day try luggage newark athen
853,eventually tell taxi airport promise luggage kind supervisor come talk explain luggage fact
854,ask supervisor
855,understanding patient ask trust
856,point time athen leave airport board cruise ship think way luggage middle ocean
857,night cabin open door
858,
859,supervisor luggage newark athen santorini island princess cruise ship transport island ship room day
860,day luggage aegean involve day difficult route unite simply plane athen
861,compassionate kind
862,end
863,arrive home begin impossible task deal unite receive compensation tell receipt day luggage
